Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-13,2,7,72212.286,72350.0,-1790.2820000000938,-0.0019070716027465018,2024-03-11 18:30:00,2024-03-11 19:45:00,0 days 01:15:00
-13,8,9,71931.848,72328.0,-5149.976000000024,-0.0055073240993335215,2024-03-11 20:00:00,2024-03-11 20:15:00,0 days 00:15:00
13,10,15,72485.682,72290.0,-2543.866000000009,-0.0026995952110928645,2024-03-11 20:30:00,2024-03-11 21:45:00,0 days 01:15:00
-13,16,25,72134.442,72039.0,1240.745999999941,0.001323112751048905,2024-03-11 22:00:00,2024-03-12 00:15:00,0 days 02:15:00
-13,26,27,71844.024,72005.0,-2092.6879999999364,-0.002240631732988607,2024-03-12 00:30:00,2024-03-12 00:45:00,0 days 00:15:00
13,28,29,72223.158,71863.0,-4682.0539999999455,-0.004986738464136331,2024-03-12 01:00:00,2024-03-12 01:15:00,0 days 00:15:00
-13,30,32,71479.754,72360.0,-11443.19799999999,-0.012314619885233524,2024-03-12 01:30:00,2024-03-12 02:00:00,0 days 00:30:00
13,33,37,72404.52,71684.0,-9366.760000000053,-0.009951312431875858,2024-03-12 02:15:00,2024-03-12 03:15:00,0 days 01:00:00
-13,38,41,71521.67,71962.0,-5724.290000000023,-0.00615659561640558,2024-03-12 03:30:00,2024-03-12 04:15:00,0 days 00:45:00
13,42,45,72196.104,71886.0,-4031.3520000000863,-0.004295301031756571,2024-03-12 04:30:00,2024-03-12 05:15:00,0 days 00:45:00
-13,46,47,71651.41,71968.0,-4115.669999999955,-0.004418475505227226,2024-03-12 05:30:00,2024-03-12 05:45:00,0 days 00:15:00
13,48,54,72095.904,71724.0,-4834.751999999935,-0.005158462261600771,2024-03-12 06:00:00,2024-03-12 07:30:00,0 days 01:30:00
13,55,59,72330.372,71916.0,-5386.836000000039,-0.005728879702153411,2024-03-12 07:45:00,2024-03-12 08:45:00,0 days 01:00:00
12,60,61,72546.804,71853.0,-8325.648000000045,-0.009563536389556204,2024-03-12 09:00:00,2024-03-12 09:15:00,0 days 00:15:00
12,62,63,72325.362,71932.0,-4720.343999999925,-0.005438783700799088,2024-03-12 09:30:00,2024-03-12 09:45:00,0 days 00:15:00
-12,64,65,71641.43,72060.0,-5022.840000000084,-0.005842569027446842,2024-03-12 10:00:00,2024-03-12 10:15:00,0 days 00:15:00
12,66,67,72287.28600000001,72000.0,-3447.432000000088,-0.003974225841042234,2024-03-12 10:30:00,2024-03-12 10:45:00,0 days 00:15:00
-12,68,80,71672.368,71548.0,1492.4160000000265,0.0017352293983087241,2024-03-12 11:00:00,2024-03-12 14:00:00,0 days 03:00:00
12,81,85,71764.242,71289.0,-5702.90399999998,-0.006622267396066084,2024-03-12 14:15:00,2024-03-12 15:15:00,0 days 01:00:00
-12,86,95,70880.954,71367.0,-5832.552000000025,-0.0068572158326198895,2024-03-12 15:30:00,2024-03-12 17:45:00,0 days 02:15:00
-12,96,98,71119.476,71578.0,-5502.288000000059,-0.006447235353646441,2024-03-12 18:00:00,2024-03-12 18:30:00,0 days 00:30:00
12,99,121,71651.016,72217.0,6791.807999999961,0.007899176195910407,2024-03-12 18:45:00,2024-03-13 00:15:00,0 days 05:30:00
12,122,148,72397.506,73179.0,9377.928000000073,0.010794487865369407,2024-03-13 00:30:00,2024-03-13 07:00:00,0 days 06:30:00
12,149,150,73435.578,73113.0,-3870.9359999999288,-0.004392666453854166,2024-03-13 07:15:00,2024-03-13 07:30:00,0 days 00:15:00
-12,151,168,72654.4,73057.0,-4831.20000000007,-0.0055413023849897325,2024-03-13 07:45:00,2024-03-13 12:00:00,0 days 04:15:00
12,169,170,73140.99,72840.0,-3611.880000000063,-0.004115202706444165,2024-03-13 12:15:00,2024-03-13 12:30:00,0 days 00:15:00
-12,171,174,72786.136,73034.0,-2974.3680000000168,-0.0034053737926134087,2024-03-13 12:45:00,2024-03-13 13:30:00,0 days 00:45:00
12,175,178,73278.264,72841.0,-5247.167999999947,-0.005967171929727955,2024-03-13 13:45:00,2024-03-13 14:30:00,0 days 00:45:00
-12,179,180,72759.19,73407.0,-7773.719999999972,-0.008903480096466243,2024-03-13 14:45:00,2024-03-13 15:00:00,0 days 00:15:00
12,181,191,73595.898,72936.0,-7918.776000000013,-0.008966505171252859,2024-03-13 15:15:00,2024-03-13 17:45:00,0 days 02:30:00
12,192,199,73153.014,72972.0,-2172.167999999947,-0.0024744571700080487,2024-03-13 18:00:00,2024-03-13 19:45:00,0 days 01:45:00
-12,200,204,72763.182,72999.0,-2829.8159999999916,-0.00324089729885646,2024-03-13 20:00:00,2024-03-13 21:00:00,0 days 01:00:00
-12,205,206,72810.088,73190.0,-4558.9439999999595,-0.005217848383866741,2024-03-13 21:15:00,2024-03-13 21:30:00,0 days 00:15:00
11,207,215,73322.352,73007.0,-3468.8719999999885,-0.004300898585468116,2024-03-13 21:45:00,2024-03-13 23:45:00,0 days 02:00:00
11,216,217,73195.098,72857.0,-3719.0779999999795,-0.004619134467174213,2024-03-14 00:00:00,2024-03-14 00:15:00,0 days 00:15:00
11,218,226,73185.078,73419.0,2573.1420000000653,0.003196307312810509,2024-03-14 00:30:00,2024-03-14 02:30:00,0 days 02:00:00
11,227,228,73635.978,73342.0,-3233.7580000000307,-0.003992314735060676,2024-03-14 02:45:00,2024-03-14 03:00:00,0 days 00:15:00
-11,229,230,73252.202,73598.0,-3803.7779999999475,-0.004720649899370821,2024-03-14 03:15:00,2024-03-14 03:30:00,0 days 00:15:00
11,231,232,73611.93,73423.0,-2078.229999999923,-0.002566567674560316,2024-03-14 03:45:00,2024-03-14 04:00:00,0 days 00:15:00
11,233,235,73676.058,73385.0,-3201.63800000005,-0.003950509947207026,2024-03-14 04:15:00,2024-03-14 04:45:00,0 days 00:30:00
-11,236,286,73276.154,71687.0,17480.693999999945,0.021687191715875187,2024-03-14 05:00:00,2024-03-14 17:30:00,0 days 12:30:00
12,287,302,71690.094,70749.0,-11293.127999999968,-0.013127252978633264,2024-03-14 17:45:00,2024-03-14 21:30:00,0 days 03:45:00
-12,303,313,69632.456,68100.0,18389.472000000067,0.022007783267044445,2024-03-14 21:45:00,2024-03-15 00:15:00,0 days 02:30:00
-13,314,317,67749.23,67888.0,-1804.010000000053,-0.002048288962103406,2024-03-15 00:30:00,2024-03-15 01:15:00,0 days 00:45:00
12,318,326,68645.016,67763.0,-10584.19200000004,-0.012848944488555447,2024-03-15 01:30:00,2024-03-15 03:30:00,0 days 02:00:00
-12,327,331,67479.77,67644.0,-1970.759999999951,-0.0024337664458546904,2024-03-15 03:45:00,2024-03-15 04:45:00,0 days 01:00:00
12,332,333,68029.788,67524.0,-6069.456000000006,-0.007434801942937108,2024-03-15 05:00:00,2024-03-15 05:15:00,0 days 00:15:00
12,334,335,67920.57,67645.0,-3306.840000000084,-0.004057239213393071,2024-03-15 05:30:00,2024-03-15 05:45:00,0 days 00:15:00
-12,336,340,67177.376,67842.0,-7975.487999999954,-0.009893568930111174,2024-03-15 06:00:00,2024-03-15 07:00:00,0 days 01:00:00
12,341,357,67790.31,67691.0,-1191.719999999972,-0.0014649586349435584,2024-03-15 07:15:00,2024-03-15 11:15:00,0 days 04:00:00
12,358,373,68166.06,67948.0,-2616.719999999972,-0.0031989526752755904,2024-03-15 11:30:00,2024-03-15 15:15:00,0 days 03:45:00
12,374,375,68588.904,67715.0,-10486.84799999994,-0.012741186242019475,2024-03-15 15:30:00,2024-03-15 15:45:00,0 days 00:15:00
-12,376,377,67815.098,68242.0,-5122.824000000022,-0.006295087857869142,2024-03-15 16:00:00,2024-03-15 16:15:00,0 days 00:15:00
-12,378,380,67921.884,68355.0,-5197.391999999934,-0.006376678244083944,2024-03-15 16:30:00,2024-03-15 17:00:00,0 days 00:30:00
12,381,409,68565.858,68831.0,3181.704000000085,0.003866968309504726,2024-03-15 17:15:00,2024-03-16 00:15:00,0 days 07:00:00
-12,410,411,68704.316,69077.0,-4472.207999999926,-0.005424462707699362,2024-03-16 00:30:00,2024-03-16 00:45:00,0 days 00:15:00
11,412,424,69177.078,69095.0,-902.8579999999347,-0.0011864912825603202,2024-03-16 01:00:00,2024-03-16 04:00:00,0 days 03:00:00
